"Zeitstempel","Wiek","Płeć","Czy grasz w gry komputerowe?","Ile rocznie wydajesz na kupno gier wideo?","Ile rocznie wydajesz na zakup wirtualnych przedmiotów w grach? (np. Riot Point, skiny CS:GO)","Ile rocznie wydajesz na sprzęt elektroniczny związany z graniem? (np. słuchawki, klawiatury)","Na jaką platformę najczęściej kupujesz gry lub waluty?","Ile tygodniowo grasz w gry?","Na jaką grę wydajesz (przedmioty) najwięcej pieniędzy?","Pieniądze w grach wydaję:","Jako nagrodę za wygraną w turnieju chciałbym dostać:","Główne źródło przychodów:","Miesięczne wolne środki do rozdysponowania na hobby, kulturę, rozrywkę:"
"2021/12/12 4:12:06 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zarobki z pracy","250 - 500 zł"
"2021/12/12 4:12:12 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zasiłki, stypendia etc.","0 - 100 zł"
"2021/12/12 4:12:45 AM GMT-8","Powyżej 26","Kobieta","Nie","","","","","","","","","",""
"2021/12/12 4:20:06 AM GMT-8","19-22","Mężyczyzna","Tak","0 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","0 - 100 zł"
"2021/12/12 4:28:32 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","100 - 200 zł","0 zł","Komputer stacjonarny lub laptop","powyżej 25h","najwięcej wydałem na Apex Legends i Rainbow 6 Siege","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2021/12/12 4:30:42 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Konsole PlayStation","powyżej 25h",".","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","powyżej 500 zł"
"2021/12/12 4:33:03 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","5 - 10h","PayDay 2","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2021/12/12 4:35:18 AM GMT-8","19-22","Kobieta","Tak","1 - 99 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","Roblox","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2021/12/12 4:47:05 AM GMT-8","23-26","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2021/12/12 4:55:17 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","5 - 10h","Nie wydaje ","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2021/12/12 5:05:17 AM GMT-8","19-22","Kobieta","Tak","100 - 200 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","100 - 250 zł"
"2021/12/12 5:06:01 AM GMT-8","19-22","Kobieta","Tak","100 - 200 zł","0 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","Nie kupuję przedmiotów z IS, jakbym miała kupować to na FF XIV :D","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2021/12/12 5:23:23 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","200 - 500 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/12 5:27:19 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zasiłki, stypendia etc.","0 - 100 zł"
"2021/12/12 5:38:33 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","200 - 500 zł","powyżej 500 zł","Telefon","powyżej 25h","Arknights","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","250 - 500 zł"
"2021/12/12 5:39:45 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","100 - 200 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","Genshin Impact","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/12 5:59:47 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","5 - 10h","nie wydaję na mikropłatności","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/12 6:41:46 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","1 - 99 zł","100 - 200 zł","Konsole PlayStation","2 - 5h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2021/12/12 6:48:14 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/12 7:02:27 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","200 - 500 zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/12 7:03:48 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zasiłki, stypendia etc.","0 - 100 zł"
"2021/12/12 7:07:59 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","1 - 99 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2021/12/12 7:23:27 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","0 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","250 - 500 zł"
"2021/12/12 7:27:47 AM GMT-8","23-26","Mężyczyzna","Tak","500+ zł","500+ zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","LoL/PoE/Warframe","regularnie","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","powyżej 500 zł"
"2021/12/12 9:23:11 AM GMT-8","15-18","Kobieta","Tak","100 - 200 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","2 - 5h","nie wydaje pieniędzy na przedmioty","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","100 - 250 zł"
"2021/12/13 12:15:39 AM GMT-8","Powyżej 26","Kobieta","Nie","","","","","","","","","",""
"2021/12/13 12:15:56 AM GMT-8","Powyżej 26","Mężyczyzna","Nie","","","","","","","","","",""
"2021/12/13 1:53:22 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","0 - 100 zł"
"2021/12/13 3:05:48 AM GMT-8","19-22","Kobieta","Tak","1 - 99 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Kieszonkowe","powyżej 500 zł"
"2021/12/16 2:08:21 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","200 - 500 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","powyżej 500 zł"
"2021/12/19 11:48:06 AM GMT-8","19-22","Inna","Tak","500+ zł","1 - 99 zł","200 - 500 zł","Konsole Nintendo","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/19 11:51:31 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","powyżej 25h","Żadna","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","powyżej 500 zł"
"2021/12/19 11:52:06 AM GMT-8","23-26","Kobieta","Tak","200 - 500 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zarobki z pracy","powyżej 500 zł"
"2021/12/19 11:53:29 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","100 - 250 zł"
"2021/12/19 11:54:28 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","250 - 500 zł"
"2021/12/19 12:03:54 PM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","200 - 500 zł","200 - 500 zł","Konsole PlayStation","10 - 25h","World Of Tanks","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/19 12:05:01 PM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","200 - 500 zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/19 12:07:01 PM GMT-8","19-22","Mężyczyzna","Nie","","","","","","","","","",""
"2021/12/19 12:07:23 PM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","Nie wiem","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2021/12/19 12:15:02 PM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","2 - 5h","Oculus Store","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","powyżej 500 zł"
"2021/12/19 12:17:58 PM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","10 - 25h","ja tylko gry kupuje","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2021/12/19 1:18:03 PM GMT-8","19-22","Kobieta","Tak","1 - 99 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","powyżej 500 zł"
"2021/12/19 1:56:39 PM GMT-8","15-18","Kobieta","Nie","","","","","","","","","",""
"2021/12/19 1:57:49 PM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","1 - 99 zł","200 - 500 zł","Komputer stacjonarny lub laptop","10 - 25h","Genshin Impact","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","250 - 500 zł"
"2021/12/19 2:01:11 PM GMT-8","23-26","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","200 - 500 zł","Konsole XBOX","10 - 25h","apex, przepustka w tym roku","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zarobki z pracy","250 - 500 zł"
"2021/12/19 2:18:17 PM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","100 - 200 zł","0 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/19 2:44:25 PM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","0 - 100 zł"
"2021/12/19 2:48:54 PM GMT-8","19-22","Kobieta","Tak","1 - 99 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","2 - 5h","Żadną ","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","250 - 500 zł"
"2021/12/20 6:15:44 AM GMT-8","19-22","Kobieta","Tak","100 - 200 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2021/12/22 1:27:37 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Konsole PlayStation","2 - 5h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","0 - 100 zł"
"2022/01/04 4:22:24 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","5 - 10h","Warframe","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 6:16:45 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","1 - 99 zł","Konsole PlayStation","5 - 10h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 6:17:01 AM GMT-8","23-26","Mężyczyzna","Tak","1 - 99 zł","200 - 500 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 6:17:11 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","0 zł","200 - 500 zł","Konsole PlayStation","10 - 25h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","250 - 500 zł"
"2022/01/06 6:17:14 AM GMT-8","15-18","Mężyczyzna","Tak","100 - 200 zł","0 zł","0 zł","Konsole PlayStation","5 - 10h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2022/01/06 6:17:28 AM GMT-8","19-22","Mężyczyzna","Tak","0 zł","0 zł","0 zł","Komputer stacjonarny lub laptop","5 - 10h","Nie wydaje pieniędzy na gry","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zasiłki, stypendia etc.","0 - 100 zł"
"2022/01/06 6:23:50 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","0 - 100 zł"
"2022/01/06 6:25:20 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","1 - 99 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/06 6:27:18 AM GMT-8","15-18","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","Fortnite","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 6:28:44 AM GMT-8","Powyżej 26","Mężyczyzna","Tak","200 - 500 zł","200 - 500 zł","0 zł","Konsole PlayStation","2 - 5h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 6:29:16 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","250 - 500 zł"
"2022/01/06 6:32:06 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","1 - 99 zł","Konsole XBOX","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 6:32:09 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","0 zł","Komputer stacjonarny lub laptop","0 - 2h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 6:38:51 AM GMT-8","Powyżej 26","Mężyczyzna","Tak","500+ zł","500+ zł","powyżej 500 zł","Konsole XBOX","powyżej 25h","Tytuły FIFA","regularnie","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 6:41:29 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","1 - 99 zł","100 - 200 zł","Konsole PlayStation","2 - 5h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2022/01/06 6:42:05 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","100 - 200 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
